item_id,name,category,features_json,description,average_rating,num_reviews,launch_date
1,Dream Track v1,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""$14.99/mo"", ""supported_devices"": ""iOS only""}","Dream Track v1 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.84,395,2024-09-07
2,SlumberAI v1,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": false, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""Both""}","SlumberAI v1 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.7,491,2023-05-17
3,Restful v1,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""Web only""}","Restful v1 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.6,80,2024-04-17
4,Sleep Mastery v1,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": true, ""subscription_required"": true, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""Both""}","Sleep Mastery v1 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.67,203,2025-04-12
5,Zensleep v1,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""Free"", ""supported_devices"": ""iOS only""}","Zensleep v1 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.68,434,2025-01-08
6,NightGuard v1,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""Both""}","NightGuard v1 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.55,243,2025-06-06
7,PeakSleep v1,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": false, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""Both""}","PeakSleep v1 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.98,381,2023-05-28
8,SleepWell v1,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": true, ""price_tier"": ""$14.99/mo"", ""supported_devices"": ""Android only""}","SleepWell v1 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.69,119,2024-02-08
9,CircadianSync v1,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": true, ""subscription_required"": true, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""iOS only""}","CircadianSync v1 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.66,379,2025-01-04
10,MindRest v2,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$14.99/mo"", ""supported_devices"": ""Both""}","MindRest v2 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.54,57,2025-01-02
11,SleepCycle Pro v2,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""iOS only""}","SleepCycle Pro v2 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.07,271,2023-08-14
12,Insomnia Coach v2,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""iOS only""}","Insomnia Coach v2 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.54,162,2025-10-08
13,Breathe Easy v2,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""$14.99/mo"", ""supported_devices"": ""iOS only""}","Breathe Easy v2 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.14,90,2024-12-18
14,Relax & Restore v2,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": false, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""Android only""}","Relax & Restore v2 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.61,242,2025-11-19
15,Calm Sleep v2,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""$14.99/mo"", ""supported_devices"": ""iOS only""}","Calm Sleep v2 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.43,128,2024-02-21
16,Dream Track v2,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""Free"", ""supported_devices"": ""iOS only""}","Dream Track v2 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.49,357,2025-11-30
17,SlumberAI v2,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": false, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""iOS only""}","SlumberAI v2 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.8,72,2024-09-19
18,Restful v2,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": false, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""Android only""}","Restful v2 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.07,28,2024-07-12
19,Sleep Mastery v2,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": false, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": true, ""subscription_required"": true, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""Web only""}","Sleep Mastery v2 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.26,347,2025-03-07
